"spkid","full_name","name","neo","pha","diameter","e","a","q","i","om","w","ma","ad","tp"
20000433,"   433 Eros (A898 PA)",Eros,Y,N,16.84,0.2227,1.458,1.133,10.83,304.27,178.91,86.67,1.78,2460445.66
20000719,"   719 Albert (A911 TB)",Albert,Y,N,,0.5468,2.636,1.195,11.58,183.86,156.22,148.45,4.08,2459955.83
20000887,"   887 Alinda (A918 AA)",Alinda,Y,N,4.2,0.5711,2.473,1.060,9.40,110.42,350.47,340.20,3.88,2460678.61
20001036,"  1036 Ganymed (A924 UB)",Ganymed,Y,N,37.675,0.5328,2.665,1.245,26.69,215.49,132.50,6.98,4.09,2460569.66
20001221,"  1221 Amor (1932 EA1)",Amor,Y,N,1.0,0.4347,1.92,1.085,11.87,171.26,26.72,271.70,2.75,2460838.87
20001566,"  1566 Icarus (1949 MA)",Icarus,Y,Y,1.0,0.8270,1.078,0.187,22.80,87.95,31.43,160.86,1.97,2460417.82
20001580,"  1580 Betulia (1950 KA)",Betulia,Y,N,5.8,0.4876,2.195,1.125,52.19,62.23,159.73,319.03,3.27,2460735.68
20001620,"  1620 Geographos (1951 RA)",Geographos,Y,Y,2.56,0.3356,1.246,0.828,13.34,337.15,277.01,289.36,1.66,2460700.14
20001627,"  1627 Ivar (1929 SH)",Ivar,Y,N,9.12,0.3970,1.863,1.124,8.45,133.08,167.84,156.41,2.60,2460196.84
20001685,"  1685 Toro (1948 OA)",Toro,Y,N,3.4,0.4361,1.368,0.771,9.38,274.21,127.27,196.26,1.96,2460866.28
20001862,"  1862 Apollo (1932 HA)",Apollo,Y,Y,1.5,0.5599,1.471,0.647,6.35,35.56,286.03,252.87,2.29,2460794.35
20001863,"  1863 Antinous (1948 EA)",Antinous,Y,N,2.1,0.6063,2.261,0.890,18.35,346.00,268.57,173.83,3.63,2460000.70
20001864,"  1864 Daedalus (1971 FA)",Daedalus,Y,N,3.7,0.6143,1.461,0.564,22.21,6.61,325.66,34.28,2.36,2460539.09
20001865,"  1865 Cerberus (1971 UA)",Cerberus,Y,N,1.2,0.4668,1.08,0.576,16.10,212.89,325.29,328.39,1.58,2460636.50
20001866,"  1866 Sisyphus (1972 XA)",Sisyphus,Y,N,8.48,0.5380,1.894,0.875,41.21,63.45,293.12,349.34,2.91,2460628.69
20001915,"  1915 Quetzalcoatl (1953 EA)",Quetzalcoatl,Y,N,0.5,0.5703,2.544,1.093,20.40,162.93,347.77,284.48,4.00,2460911.48
20001916,"  1916 Boreas (1953 RA)",Boreas,Y,N,3.5,0.4493,2.273,1.252,12.88,340.60,335.86,280.05,3.29,2460878.45
20001917,"  1917 Cuyo (1968 AA)",Cuyo,Y,N,5.7,0.5057,2.149,1.062,23.96,188.28,194.56,34.92,3.24,2460488.87
20001943,"  1943 Anteros (1973 EC)",Anteros,Y,N,2.3,0.2561,1.43,1.064,8.71,246.30,338.46,29.90,1.80,2460548.59
20001980,"  1980 Tezcatlipoca (1950 LA)",Tezcatlipoca,Y,N,4.3,0.3647,1.71,1.086,26.87,246.54,115.51,35.06,2.33,2460520.99
20001981,"  1981 Midas (1973 EA)",Midas,Y,Y,3.4,0.6505,1.776,0.621,39.82,356.80,267.84,258.81,2.93,2460843.56
20002059,"  2059 Baboquivari (1963 UA)",Baboquivari,Y,N,,0.5318,2.642,1.237,11.02,200.69,192.45,51.33,4.05,2460376.92
20002061,"  2061 Anza (1960 UA)",Anza,Y,N,2.6,0.5356,2.265,1.052,3.80,207.36,157.09,283.26,3.48,2460865.95
20002062,"  2062 Aten (1976 AA)",Aten,Y,N,1.1,0.1829,0.967,0.790,18.93,108.53,148.06,338.03,1.14,2460621.70
20002063,"  2063 Bacchus (1977 HB)",Bacchus,Y,N,1.024,0.3494,1.078,0.701,9.44,33.04,55.34,242.55,1.45,2460733.87
20002100,"  2100 Ra-Shalom (1978 RA)",Ra-Shalom,Y,N,2.3,0.4365,0.832,0.469,15.75,170.78,356.08,89.62,1.20,2460531.49
20002101,"  2101 Adonis (1936 CA)",Adonis,Y,Y,0.6,0.7642,1.874,0.442,1.32,349.43,43.69,230.82,3.31,2460936.75
20002102,"  2102 Tantalus (1975 YA)",Tantalus,Y,Y,1.649,0.2993,1.29,0.904,64.00,94.35,61.52,78.27,1.68,2460484.14
20002135,"  2135 Aristaeus (1977 HA)",Aristaeus,Y,Y,,0.5030,1.6,0.795,23.07,191.11,290.97,202.31,2.40,2460924.20
20002201,"  2201 Oljato (1947 XC)",Oljato,Y,Y,1.80,0.7107,2.179,0.630,2.52,74.87,98.37,334.42,3.73,2460683.95
20002202,"  2202 Pele (1972 RA)",Pele,Y,N,,0.5128,2.291,1.116,8.74,169.91,217.99,355.86,3.47,2460615.08
20002212,"  2212 Hephaistos (1978 SB)",Hephaistos,Y,N,5.7,0.8361,2.166,0.355,11.31,27.01,210.05,184.81,3.98,2461167.29
20002329,"  2329 Orthos (1976 WA)",Orthos,Y,N,,0.6533,2.41,0.836,24.46,169.28,146.05,325.99,3.99,2460729.64
20002340,"  2340 Hathor (1976 UA)",Hathor,Y,Y,0.3,0.4500,0.8438,0.464,5.86,211.29,40.10,53.40,1.22,2460558.50
20002368,"  2368 Beltrovata (1977 RA)",Beltrovata,Y,N,2.3,0.4135,2.105,1.234,5.22,287.29,43.07,158.64,2.97,2460109.09
20002608,"  2608 Seneca (1978 DA)",Seneca,Y,N,0.9,0.5651,2.532,1.101,14.43,166.52,38.59,272.88,3.96,2460956.56
20003102,"  3102 Krok (1981 QA)",Krok,Y,N,1.6,0.4493,2.151,1.185,8.44,172.05,154.77,241.78,3.12,2460978.88
20003103,"  3103 Eger (1982 BB)",Eger,Y,N,1.5,0.3542,1.404,0.907,20.93,129.73,254.12,304.12,1.90,2460694.82
20003122,"  3122 Florence (1981 ET3)",Florence,Y,Y,4.9,0.4231,1.769,1.021,22.14,336.05,27.90,0.67,2.52,2460598.89
20003199,"  3199 Nefertiti (1982 RA)",Nefertiti,Y,N,2.2,0.2842,1.574,1.127,32.96,339.98,53.43,78.94,2.02,2460442.26
20003200,"  3200 Phaethon (1983 TB)",Phaethon,Y,Y,6.25,0.8898,1.271,0.140,22.31,265.10,322.31,248.98,2.40,2460762.00
20003271,"  3271 Ul (1982 RB)",Ul,Y,N,,0.3956,2.102,1.270,25.07,158.81,159.08,304.61,2.93,2460771.74
20003288,"  3288 Seleucus (1982 DV)",Seleucus,Y,N,2.8,0.4549,2.035,1.109,5.93,218.61,349.35,241.11,2.96,2460950.65
20003352,"  3352 McAuliffe (1981 CW)",McAuliffe,Y,N,,0.3691,1.879,1.185,4.77,107.33,16.07,347.84,2.57,2460632.27
20003360,"  3360 Syrinx (1981 VA)",Syrinx,Y,N,1.8,0.7457,2.468,0.628,21.14,242.46,63.56,49.58,4.31,2460405.44
20003361,"  3361 Orpheus (1982 HR)",Orpheus,Y,Y,0.3,0.3229,1.21,0.820,2.66,188.68,302.34,24.54,1.60,2460567.34
20003362,"  3362 Khufu (1984 QA)",Khufu,Y,Y,0.7,0.4685,0.9895,0.526,9.92,152.40,55.09,359.85,1.45,2460600.65
20003551,"  3551 Verenia (1983 RD)",Verenia,Y,N,0.9,0.4870,2.093,1.074,9.51,173.78,193.30,203.09,3.11,2461082.45
20003552,"  3552 Don Quixote (1983 SA)","Don Quixote",Y,N,19.0,0.7073,4.267,1.249,31.06,349.96,316.53,263.48,7.29,2461463.74
20003553,"  3553 Mera (1985 JA)",Mera,Y,N,,0.3199,1.645,1.118,36.78,232.49,288.88,289.71,2.17,2460750.91
20003554,"  3554 Amun (1986 EB)",Amun,Y,N,3.341,0.2806,0.974,0.701,23.36,358.60,359.42,226.57,1.25,2460730.64
20003671,"  3671 Dionysus (1984 KD)",Dionysus,Y,Y,1.5,0.5420,2.2,1.008,13.54,82.05,204.33,131.35,3.39,2460165.58
20003691,"  3691 Bede (1982 FT)",Bede,Y,N,4.3,0.2844,1.774,1.270,20.35,348.70,235.08,345.07,2.28,2460636.31
20003752,"  3752 Camillo (1985 PA)",Camillo,Y,N,2.306,0.3016,1.414,0.987,55.56,147.96,312.22,8.79,1.84,2460585.52
20003753,"  3753 Cruithne (1986 TO)",Cruithne,Y,N,2.071,0.5148,0.9978,0.484,19.80,126.19,43.88,308.80,1.51,2460652.28
20003757,"  3757 Anagolay (1982 XB)",Anagolay,Y,Y,0.5,0.4459,1.834,1.017,3.87,74.93,17.24,293.70,2.65,2460767.65
20003838,"  3838 Epona (1986 WA)",Epona,Y,N,,0.7027,1.505,0.447,29.20,235.47,49.72,225.76,2.56,2460851.91
20003908,"  3908 Nyx (1980 PA)",Nyx,Y,N,1.0,0.4592,1.928,1.042,2.19,261.20,126.65,165.71,2.81,2460150.50
20003988,"  3988 Huma (1986 LA)",Huma,Y,N,0.7,0.3166,1.545,1.056,10.77,229.79,86.91,316.36,2.03,2460685.50
20004015,"  4015 Wilson-Harrington (1979 VA)",Wilson-Harrington,Y,Y,4,0.6312,2.626,0.968,2.80,266.73,95.52,181.75,4.28,2461369.95
20004034,"  4034 Vishnu (1986 PA)",Vishnu,Y,Y,0.42,0.4441,1.06,0.589,11.17,157.89,296.70,260.40,1.53,2460710.71
20004055,"  4055 Magellan (1985 DO2)",Magellan,Y,N,2.49,0.3261,1.82,1.227,23.25,164.82,154.38,267.34,2.41,2460831.38
20004179,"  4179 Toutatis (1989 AC)",Toutatis,Y,Y,5.4,0.6248,2.543,0.954,0.45,125.36,277.88,339.68,4.13,2460684.14
20004183,"  4183 Cuno (1959 LM)",Cuno,Y,Y,3.651,0.6361,1.981,0.721,6.67,294.35,237.02,175.91,3.24,2460102.94
20004197,"  4197 Morpheus (1982 TA)",Morpheus,Y,N,1.8,0.7724,2.295,0.522,12.60,7.01,122.55,357.11,4.07,2460610.68
20004257,"  4257 Ubasti (1987 QA)",Ubasti,Y,N,,0.4683,1.647,0.876,40.72,169.15,278.94,160.95,2.42,2460255.27
20004341,"  4341 Poseidon (1987 KF)",Poseidon,Y,N,3.177,0.6800,1.834,0.587,11.84,108.03,15.83,44.04,3.08,2460489.51
20004401,"  4401 Aditi (1985 TB)",Aditi,Y,N,1.801,0.5633,2.584,1.128,26.63,22.78,68.15,133.50,4.04,2460037.88
20004450,"  4450 Pan (1987 SY)",Pan,Y,Y,,0.5866,1.443,0.596,5.52,311.70,291.94,192.17,2.29,2460895.52
20004486,"  4486 Mithra (1987 SB)",Mithra,Y,Y,1.849,0.6620,2.205,0.745,3.04,82.18,169.12,156.61,3.67,2460080.09
20004487,"  4487 Pocahontas (1987 UA)",Pocahontas,Y,N,,0.2966,1.73,1.217,16.41,198.10,173.99,95.85,2.24,2460379.17
20004503,"  4503 Cleobulus (1989 WM)",Cleobulus,Y,N,,0.5247,2.703,1.285,2.51,45.94,76.25,287.79,4.12,2460926.13
20004544,"  4544 Xanthus (1989 FB)",Xanthus,Y,N,1.3,0.2501,1.042,0.781,14.14,23.95,333.83,354.50,1.30,2460606.44
20004581,"  4581 Asclepius (1989 FC)",Asclepius,Y,Y,,0.3570,1.023,0.658,4.92,180.20,255.38,212.12,1.39,2460755.66
20004596,"  4596 (1981 QB)",,Y,N,,0.5200,2.24,1.075,37.07,154.19,248.42,290.19,3.40,2460837.87
20004660,"  4660 Nereus (1982 DB)",Nereus,Y,Y,0.33,0.3587,1.485,0.952,1.45,313.11,159.54,191.96,2.02,2460909.06
20004688,"  4688 (1980 WF)",,Y,N,0.6,0.5179,2.232,1.076,6.38,241.23,213.80,45.35,3.39,2460447.02
20004769,"  4769 Castalia (1989 PB)",Castalia,Y,Y,1.4,0.4832,1.063,0.549,8.88,325.51,121.44,324.11,1.58,2460640.41
20004947,"  4947 Ninkasi (1988 TJ1)",Ninkasi,Y,N,,0.1685,1.37,1.139,15.65,215.43,192.93,144.57,1.60,2460365.27
20004953,"  4953 (1990 MU)",,Y,Y,,0.6574,1.621,0.555,24.38,77.53,77.93,285.02,2.69,2460757.54
20004954,"  4954 Eric (1990 SQ)",Eric,Y,N,10.8,0.4494,2.001,1.102,17.43,358.41,52.62,347.92,2.90,2460635.20
20004957,"  4957 Brucemurray (1990 XJ)",Brucemurray,Y,N,3.499,0.2189,1.565,1.223,35.01,254.88,97.48,150.48,1.91,2460301.50
20005011,"  5011 Ptah (6743 P-L)",Ptah,Y,Y,,0.5001,1.636,0.818,7.41,10.63,105.94,173.66,2.45,2460231.78
20005131,"  5131 (1990 BG)",,Y,N,,0.5692,1.486,0.640,36.44,110.34,135.87,358.09,2.33,2460604.02
20005143,"  5143 Heracles (1991 VL)",Heracles,Y,N,4.843,0.7710,1.835,0.420,8.98,309.09,228.22,45.49,3.25,2460485.77
20005189,"  5189 (1990 UQ)",,Y,Y,,0.4783,1.552,0.809,3.58,135.05,159.95,257.64,2.29,2460801.21
20005324,"  5324 Lyapunov (1987 SL)",Lyapunov,Y,N,,0.6052,2.982,1.177,19.62,352.16,321.13,101.93,4.79,2460067.93
20005332,"  5332 Davidaguilar (1990 DA)",Davidaguilar,Y,N,3.6,0.4557,2.163,1.177,25.52,142.77,306.07,339.58,3.15,2460666.41
20005370,"  5370 Taranis (1986 RA)",Taranis,Y,N,3.6,0.6370,3.319,1.205,19.17,177.79,161.31,90.75,5.43,2460043.71
20005381,"  5381 Sekhmet (1991 JY)",Sekhmet,Y,N,0.935,0.2964,0.9475,0.667,48.97,58.53,37.42,199.13,1.23,2460751.03
20005496,"  5496 (1973 NA)",,Y,N,,0.6350,2.435,0.889,68.00,101.04,117.98,195.45,3.98,2461234.90
20005587,"  5587 (1990 SB)",,Y,N,3.57,0.5441,2.4,1.094,18.07,189.85,86.96,103.89,3.71,2460208.58
20005590,"  5590 (1990 VA)",,Y,N,,0.2802,0.9864,0.710,14.18,216.26,34.47,25.89,1.26,2460574.76
20005604,"  5604 (1992 FE)",,Y,Y,0.55,0.4061,0.9286,0.552,4.71,311.89,82.68,269.92,1.31,2460682.29
20005620,"  5620 Jasonwheeler (1990 OA)",Jasonwheeler,Y,N,,0.4228,2.159,1.246,7.87,128.65,153.76,292.11,3.07,2460818.97
20005626,"  5626 Melissabrucker (1991 FE)",Melissabrucker,Y,N,,0.4547,2.195,1.197,3.85,173.10,231.87,200.05,3.19,2461128.28
20005645,"  5645 (1990 SP)",,Y,N,1.668,0.3873,1.355,0.830,13.51,45.71,48.27,164.51,1.88,2460337.32
20005646,"  5646 (1990 TR)",,Y,N,4.3,0.4357,2.144,1.210,7.91,14.10,335.77,314.96,3.08,2460743.96
20005653,"  5653 Camarillo (1992 WD5)",Camarillo,Y,N,1.537,0.3042,1.794,1.248,6.87,9.89,122.62,63.97,2.34,2460444.53
20005660,"  5660 (1974 MA)",,Y,N,,0.7621,1.785,0.425,38.14,302.12,127.04,358.08,3.15,2460605.14
20005693,"  5693 (1993 EA)",,Y,Y,,0.5851,1.271,0.527,5.06,96.98,258.98,203.14,2.01,2460828.42
20005731,"  5731 Zeus (1988 VP4)",Zeus,Y,N,5.231,0.6521,2.266,0.788,11.20,280.59,218.43,166.28,3.74,2460025.06
20005751,"  5751 Zao (1992 AC)",Zao,Y,N,2.3,0.4254,2.101,1.207,16.07,121.63,25.46,254.35,3.00,2460927.00
20005786,"  5786 Talos (1991 RC)",Talos,Y,N,,0.8268,1.081,0.187,23.22,161.28,8.39,277.56,1.98,2460694.57
20005797,"  5797 Bivoj (1980 AA)",Bivoj,Y,N,0.4,0.4443,1.894,1.052,4.19,298.92,168.64,69.36,2.74,2460417.11
20005828,"  5828 (1991 AM)",,Y,N,1.457,0.6949,1.698,0.518,30.12,125.42,152.77,57.64,2.88,2460471.10
20005836,"  5836 (1993 MF)",,Y,N,2.754,0.5365,2.441,1.131,7.94,238.71,78.09,59.58,3.75,2460369.96
20005863,"  5863 Tara (1983 RB)",Tara,Y,N,1.345,0.5065,2.222,1.097,19.49,168.76,115.62,166.87,3.35,2460039.76
20005869,"  5869 Tanith (1988 VN4)",Tanith,Y,N,,0.3213,1.812,1.230,17.93,227.85,230.86,232.38,2.39,2460916.38
20005879,"  5879 Almeria (1992 CH1)",Almeria,Y,N,,0.2892,1.625,1.155,21.57,145.83,355.78,283.14,2.09,2460761.97
20006037,"  6037 (1988 EG)",,Y,Y,,0.4997,1.272,0.636,3.51,182.18,242.32,249.72,1.91,2460760.94
20006047,"  6047 (1991 TB1)",,Y,N,,0.3521,1.455,0.942,23.47,6.07,103.82,242.40,1.97,2460809.80
20006050,"  6050 Miwablock (1992 AE)",Miwablock,Y,N,2.884,0.4372,2.202,1.239,6.41,88.15,285.05,33.19,3.17,2460490.45
20006053,"  6053 (1993 BW3)",,Y,N,3.720,0.5287,2.147,1.012,21.58,318.23,74.93,82.05,3.28,2460338.67
20006063,"  6063 Jason (1984 KB)",Jason,Y,N,1.4,0.7622,2.22,0.528,4.96,169.03,337.61,99.90,3.91,2460265.20
20006178,"  6178 (1986 DA)",,Y,N,2.3,0.5845,2.815,1.169,4.31,64.49,127.48,54.83,4.46,2460337.84
20006239,"  6239 Minos (1989 QF)",Minos,Y,Y,,0.4126,1.151,0.676,3.94,344.53,239.77,224.50,1.63,2460770.27
20006455,"  6455 (1992 HE)",,Y,N,4.626,0.5728,2.24,0.957,37.34,26.89,262.75,230.08,3.52,2461042.38
20006456,"  6456 Golombek (1992 OM)",Golombek,Y,N,,0.4090,2.193,1.296,8.22,313.57,347.10,335.09,3.09,2460682.59
20006489,"  6489 Golevka (1991 JX)",Golevka,Y,Y,0.53,0.6151,2.484,0.956,2.27,209.42,68.66,151.88,4.01,2459997.28
20006491,"  6491 (1991 OA)",,Y,Y,,0.5917,2.506,1.023,6.00,301.00,324.73,142.22,3.99,2460027.95
20006569,"  6569 Ondaatje (1993 MO)",Ondaatje,Y,N,,0.2209,1.626,1.267,22.64,111.46,167.30,29.09,1.99,2460539.29
20006611,"  6611 (1993 VW)",,Y,N,1.408,0.4846,1.696,0.874,8.70,230.77,281.59,315.03,2.52,2460701.29
20007025,"  7025 (1993 QA)",,Y,N,0.498,0.3150,1.476,1.011,12.61,146.59,323.45,14.75,1.94,2460573.66
20007088,"  7088 Ishtar (1992 AA)",Ishtar,Y,N,1.298,0.3903,1.981,1.208,8.30,102.61,354.78,271.76,2.75,2460850.09
20007092,"  7092 Cadmus (1992 LC)",Cadmus,Y,N,6.319,0.6935,2.545,0.780,17.79,56.72,94.77,30.55,4.31,2460474.64
20007236,"  7236 (1987 PA)",,Y,N,,0.5598,2.727,1.200,16.37,308.24,338.24,106.90,4.25,2460112.17
20007335,"  7335 (1989 JA)",,Y,Y,1.8,0.4846,1.772,0.913,15.17,61.28,232.27,349.17,2.63,2460626.41
20007336,"  7336 Saunders (1989 RS1)",Saunders,Y,N,,0.4815,2.306,1.196,7.20,174.46,181.56,5.75,3.42,2460580.08
20007341,"  7341 (1991 VK)",,Y,Y,0.982,0.5061,1.841,0.909,5.41,294.73,173.48,37.89,2.77,2460504.43
20007350,"  7350 (1993 VA)",,Y,N,1.921,0.3911,1.356,0.826,7.26,133.05,336.70,183.75,1.89,2460882.87
20007358,"  7358 Oze (1995 YA3)",Oze,Y,N,,0.5020,2.199,1.095,4.66,265.42,92.31,351.77,3.30,2460627.73
20007474,"  7474 (1992 TC)",,Y,N,,0.2923,1.565,1.108,7.09,88.60,275.65,129.54,2.02,2460343.06
20007480,"  7480 Norwan (1994 PC)",Norwan,Y,N,,0.3171,1.568,1.071,9.45,124.36,256.87,98.18,2.06,2460404.97
20007482,"  7482 (1994 PC1)",,Y,Y,1.052,0.3294,1.349,0.904,33.47,117.85,47.49,246.56,1.79,2460780.76
20007753,"  7753 (1988 XB)",,Y,Y,,0.4817,1.467,0.761,3.12,73.39,280.08,95.85,2.17,2460427.66
20007822,"  7822 (1991 CS)",,Y,Y,1.602,0.1646,1.123,0.938,37.12,156.84,249.45,182.35,1.31,2460814.92
20007839,"  7839 (1994 ND)",,Y,N,0.784,0.5187,2.165,1.042,27.12,102.51,228.32,167.97,3.29,2460057.71
20007888,"  7888 (1993 UC)",,Y,N,2.298,0.6631,2.438,0.821,26.07,165.89,323.01,24.14,4.05,2460507.27
20007889,"  7889 (1994 LX)",,Y,N,1.680,0.3463,1.262,0.825,36.91,111.26,349.18,337.10,1.70,2460633.42
20007977,"  7977 (1977 QQ5)",,Y,N,,0.4664,2.226,1.188,25.17,134.13,248.11,53.30,3.26,2460420.93
20008013,"  8013 Gordonmoore (1990 KA)",Gordonmoore,Y,N,2.3,0.4316,2.202,1.252,7.59,105.36,147.20,190.80,3.15,2461161.53
20008014,"  8014 (1990 MF)",,Y,Y,0.7,0.4560,1.747,0.951,1.87,209.84,114.73,291.48,2.54,2460761.05
20008034,"  8034 Akka (1992 LR)",Akka,Y,N,,0.4090,1.83,1.082,2.02,232.82,68.19,5.05,2.58,2460587.82
20008035,"  8035 (1992 TB)",,Y,N,,0.4624,1.342,0.722,28.30,185.61,6.12,13.70,1.96,2460578.89
20008037,"  8037 (1993 HO1)",,Y,N,,0.4174,1.987,1.157,5.91,22.38,105.73,131.38,2.82,2460227.19
20008176,"  8176 (1991 WA)",,Y,N,,0.6432,1.575,0.562,39.59,66.51,241.88,260.84,2.59,2460799.33
20008201,"  8201 (1994 AH2)",,Y,N,1.859,0.7061,2.539,0.746,9.54,164.09,25.13,199.52,4.33,2461259.21
20008507,"  8507 (1991 CB1)",,Y,N,,0.5944,1.687,0.684,14.58,317.41,345.77,9.42,2.69,2460579.56
20008566,"  8566 (1996 EN)",,Y,Y,1.568,0.4302,1.506,0.858,37.97,164.12,125.13,90.11,2.15,2460431.47
20008567,"  8567 (1996 HW1)",,Y,N,2.928,0.4493,2.045,1.126,8.45,177.10,177.30,179.54,2.96,2460067.69
20008709,"  8709 Kadlu (1994 JF1)",Kadlu,Y,N,,0.4925,2.526,1.282,3.53,118.97,153.85,182.31,3.77,2461324.20
20009058,"  9058 (1992 JB)",,Y,N,,0.3596,1.557,0.997,16.09,218.30,307.06,284.90,2.12,2460748.50
20009162,"  9162 Kwiila (1987 OA)",Kwiila,Y,N,1.127,0.5956,1.497,0.605,9.01,179.99,235.83,77.31,2.39,2460456.89
20009172,"  9172 Abhramu (1989 OB)",Abhramu,Y,N,,0.5527,2.709,1.212,7.84,287.57,74.17,318.40,4.21,2460788.75
20009202,"  9202 (1993 PB)",,Y,N,1.617,0.6078,1.424,0.558,40.80,315.89,212.36,225.05,2.29,2460833.11
20009400,"  9400 (1994 TW1)",,Y,N,3.698,0.5809,2.587,1.084,36.00,3.36,62.14,51.21,4.09,2460384.26
20009856,"  9856 (1991 EE)",,Y,Y,1.0,0.6258,2.242,0.839,9.83,168.11,116.18,314.61,3.65,2460755.13
20009950,"  9950 ESA (1990 VB)",ESA,Y,N,,0.5327,2.438,1.140,14.60,253.45,103.60,331.06,3.74,2460712.30
20010115," 10115 (1992 SK)",,Y,Y,0.938,0.3250,1.249,0.843,15.32,8.89,233.69,84.54,1.65,2460480.83
20010145," 10145 (1994 CK1)",,Y,N,,0.6326,1.901,0.698,4.55,328.38,27.45,348.39,3.10,2460631.37
20010150," 10150 (1994 PN)",,Y,N,,0.5440,2.375,1.083,45.95,112.97,234.04,67.70,3.67,2460349.13
20010165," 10165 (1995 BL2)",,Y,N,0.829,0.5037,1.235,0.613,23.90,312.42,348.46,91.71,1.86,2460472.84
20010302," 10302 (1989 ML)",,Y,N,,0.1370,1.273,1.098,4.38,104.27,183.65,206.92,1.45,2460823.51
20010563," 10563 Izhdubar (1993 WD)",Izhdubar,Y,N,,0.2662,1.007,0.739,63.47,56.56,132.20,106.82,1.27,2460491.01
20010636," 10636 (1998 QK56)",,Y,N,0.533,0.5129,1.884,0.918,13.58,172.93,286.31,359.24,2.85,2460602.50
20010860," 10860 (1995 LE)",,Y,N,,0.5740,2.578,1.098,4.15,257.19,75.53,16.39,4.06,2460531.69
20011054," 11054 (1991 FA)",,Y,N,,0.4467,1.979,1.095,3.08,339.05,92.34,74.07,2.86,2460391.28
20011066," 11066 Sigurd (1992 CC1)",Sigurd,Y,N,2.104,0.3754,1.392,0.869,36.88,349.22,22.03,75.15,1.91,2460475.33
20011284," 11284 Belenus (1990 BA)",Belenus,Y,N,,0.3373,1.74,1.153,1.99,311.71,171.13,44.40,2.33,2460497.10
20011311," 11311 Peleus (1993 XN2)",Peleus,Y,N,,0.5359,2.117,0.983,25.49,59.32,313.45,26.51,3.25,2460517.66
20011398," 11398 (1998 YP11)",,Y,N,1.316,0.3895,1.721,1.050,15.02,144.74,74.76,107.00,2.39,2460355.49
20011405," 11405 (1999 CV3)",,Y,N,3.621,0.3939,1.46,0.885,22.86,141.25,96.40,153.90,2.03,2460325.15
20011500," 11500 Tomaiyowit (1989 UR)",Tomaiyowit,Y,Y,0.738,0.3558,1.08,0.696,10.31,234.39,289.52,323.61,1.46,2460641.94
20011885," 11885 Summanus (1990 SS)",Summanus,Y,N,1.298,0.4744,1.703,0.895,19.43,359.78,116.20,59.35,2.51,2460466.64
20012538," 12538 (1998 OH)",,Y,Y,1.663,0.4058,1.542,0.916,24.54,220.69,321.79,317.04,2.17,2460683.93
20012711," 12711 Tukmit (1991 BB)",Tukmit,Y,N,,0.2722,1.186,0.863,38.49,294.96,322.88,291.28,1.51,2460690.59
20012923," 12923 Zephyr (1999 GK4)",Zephyr,Y,Y,2.060,0.4918,1.963,0.998,5.30,168.17,147.13,51.56,2.93,2460456.63
20013553," 13553 Masaakikoyama (1992 JE)",Masaakikoyama,Y,N,,0.4637,2.189,1.174,5.88,193.46,109.95,333.19,3.20,2460688.63
20013651," 13651 (1997 BR)",,Y,Y,0.562,0.3057,1.335,0.927,17.25,116.63,133.86,262.62,1.74,2460752.98
20014402," 14402 (1991 DB)",,Y,N,0.6,0.4016,1.715,1.026,11.41,158.14,51.55,325.50,2.40,2460679.11
20014827," 14827 Hypnos (1986 JK)",Hypnos,Y,Y,0.9,0.6649,2.841,0.952,1.98,57.93,238.19,21.63,4.73,2460495.41
20015745," 15745 Yuliya (1991 PM5)",Yuliya,Y,N,,0.2555,1.72,1.280,14.43,132.58,140.66,284.35,2.16,2460773.56
20015817," 15817 Lucianotesi (1994 QC)",Lucianotesi,Y,N,,0.1182,1.324,1.168,13.87,162.47,94.29,340.12,1.48,2460631.24
20016064," 16064 Davidharvey (1999 RH27)",Davidharvey,Y,N,4.106,0.5894,2.849,1.170,4.54,335.55,104.75,43.97,4.53,2460385.93
20016636," 16636 (1993 QP)",,Y,N,,0.4677,2.31,1.230,7.21,296.77,47.38,314.66,3.39,2460762.04
20016657," 16657 (1993 UB)",,Y,N,,0.4608,2.277,1.228,24.95,31.19,21.30,356.33,3.33,2460613.29
20016816," 16816 (1997 UF9)",,Y,N,,0.6038,1.442,0.571,25.92,37.14,158.01,95.46,2.31,2460432.72
20016834," 16834 (1997 WU22)",,Y,N,1.87,0.4421,1.468,0.819,16.00,260.76,334.39,247.48,2.12,2460803.57
20016912," 16912 Rhiannon (1998 EP8)",Rhiannon,Y,N,,0.2726,1.751,1.274,24.52,169.17,221.25,284.67,2.23,2460777.64
20016960," 16960 (1998 QS52)",,Y,Y,,0.8590,2.201,0.310,17.52,260.15,243.25,308.68,4.09,2460770.48
20017181," 17181 (1999 UM3)",,Y,N,,0.6740,2.37,0.773,10.65,113.56,36.78,275.92,3.97,2460911.71
20017182," 17182 (1999 VU)",,Y,N,2.885,0.5533,1.387,0.620,9.26,333.48,203.23,25.70,2.15,2460557.89
20017188," 17188 (1999 WC2)",,Y,N,1.819,0.6369,2.216,0.805,29.45,269.76,287.25,172.44,3.63,2460023.52
20017274," 17274 (2000 LC16)",,Y,N,3.183,0.5539,2.731,1.219,5.57,305.70,21.35,129.39,4.24,2460007.91
20017511," 17511 (1992 QN)",,Y,N,,0.3587,1.19,0.763,9.58,355.89,202.44,10.89,1.62,2460586.16
